Store Name,Address
Alderwood,"841 Brown's Line, Shoppes of Alderwood, Toronto, ON, M8W 3V7"
Aukland,"5245 Dundas St W, Toronto, ON, M9B 1A5"
Aurora,"10 Goulding Avenue, Unit A1, Aurora, ON, L4G 7B8"
Barrhaven,"3033 Woodroffe Avenue, Ottawa, ON, K2G 6H2"
Beaverbrook,"1415 Beaverbrook Avenue, London, ON, N6H 0J1"
Blossom Park,"2950 Bank Street, Ottawa, ON, K1T 1N8"
Blue Heron,"1500 Bank Street, Ottawa, ON, K1H 7Z1"
Brantford,"240 King George Road, Brantford, ON, N3R 5L4"
Britannia,"1495 Richmond Road, Ottawa, ON, K2B 6R9"
Bronte,"2441 Lakeshore Road West, Oakville, ON, L6L 5V5"
Burlington South,"3230 Fairview Street, Burlington, Ontario, L7N 3H5"
Cambridge,"350 Hespeler Road, Bldg C, Cambridge, ON, N1R 7N7"
College and Bay,"777 Bay Street, Toronto, ON, M5B 2H7"
Cornwall,"814 Sydney Street, Cornwall, ON, K6H 3J8"
Dupont,"744 Dupont St, Toronto, ON, M6G 1Z6"
Fairway,"385 Fairway Road S., Kitchener, ON, N2C 2N9"
Front and Bathurst,"29 Bathurst St. Unit 1, Toronto, ON, M5V 2P1"
Greenbank,"1581 Greenbank Road, Ottawa, ON, K2J 4Y6"
Guelph,"370 Stone Rd. W, Guelph, ON, N1G 4V9"
Harbourfront,"207 Queens Quay West, Toronto, ON, M5J 1A7"
Harvard Square,"801 Mohawk Road West, Hamilton, ON, L9C 6C2"
Hillside,"585 Montreal Road, Ottawa, ON, K1K 4K3"
Kanata (Terry Fox Drive),"700 Terry Fox Drive, Ottawa, ON, K2L 4H4"
King and Weber,"417 King Street North, Waterloo, ON, N2J 2Z5"
Kingston,"940 Futures Gate, Kingston, ON, K7M 8T5"
Leaside,"147 Laird Dr., Toronto, ON, M4G 4K1"
Leslieville,"1005 Lake Shore Blvd East, Toronto, ON, M4M 1B3"
Mapleview(Barrie),"436 Bryne Dr., Barrie, ON, L4N 9R1"
Masonville,"109 Fanshawe Park Rd. E (Unit 20), London, ON, N5X 3W1"
Metcalfe,"193 Metcalfe Street, Ottawa, ON, K2P 0S5"
Nepean,"1642 Merivale Road, Ottawa, ON, K2G 4A1"
Newmarket,"18075 Yonge Street, Newmarket, ON, L3Y 8W3"
Oakwoods,"1907 Ironoak Way, Oakville, ON, L6H 0N1"
Orleans,"3035 St. Joseph Blvd., Ottawa, ON, K1E 1E1"
Oshawa,"1280 Clearbrook Drive , Oshawa, ON, L1K 3G6"
Pickering,"1355 Kingston Road, Unit 501, Pickering, ON, L1V 1B8"
Port Credit,"175 Lakeshore Road West, Mississauga, ON, L5H 1G5"
Rideau,"50 Rideau Street, Ottawa, ON, K1N 9J7"
Signature Centre,"499 Terry Fox Drive, Ottawa, ON, K2T 1H7"
St. Catharines,"295 Fourth Ave, St. Catharines, ON, L2S 0E7"
St. Clair,"81 St. Clair Avenue East, Toronto, ON, M4T 1M7"
Stittsville,"6315 Hazeldean Rd, Ottawa, ON, K2S 1S9"
Sugar Wharf,"Unit No. 200, 100 Queens Quay East, Toronto, ON, M5E 1Z2"
Tenth Line,"2030 Tenth Line, Ottawa, ON, K4A 4X4"
Train Yards,"830 Belfast Road, Ottawa, ON, K1G 0Z4"
Walkers Line,"3061 Walkers Line, Burlington, ON, L7M 0W3"
Wellington South,"1045 Wellington Road, London, ON, N6E 1W4"
Westboro,"317 McRae Ave, Unit 1, Ottawa, ON, K1Z 8P4"
Whitby,"360 Taunton Road East, Unit 2, Whitby, ON, L1R 0H4"
Yonge and Silver Maple,"12266 Yonge Street, Richmond Hill, ON, L4E 0W5"
Yonge and Soudan,"2149 Yonge Street, Toronto, ON, M4S 0C5"
