FSA,LANDAREA,Bachelor's degree or higher,"Car, truck or van - as a driver","Car, truck or van - as a passenger",Couple-family households,Employed,Employee,Median age of the population,Median total income of household in 2020 ($),Permanent position,"Population, 2021",Temporary position,With children,population_density,has_store,education_rate,employment_rate,driver_rate,family_rate,children_rate,region,region_Other Ontario,region_Ottawa,region_Toronto,region_Other Ontario,region_Ottawa,region_Toronto,store_probability
K1P,0.4258,375.0,50.0,10.0,130.0,485.0,475.0,32.4,87000.0,410.0,645.0,60.0,0.0,1514.7956787224048,0,58.139534883720934,75.1937984496124,7.751937984496124,20.155038759689923,0.0,Ottawa,False,True,False,False,True,False,0.9875945500849965
K1S,6.3408,12530.0,3660.0,515.0,6790.0,16580.0,15325.0,39.2,106000.0,11635.0,31257.0,3690.0,355.0,4929.504163512491,0,40.08702050740634,53.04411811754167,11.709377099529705,21.723134017979973,1.1357455929871707,Ottawa,False,True,False,False,True,False,0.9808553506164508
K1Y,5.7765,8590.0,2260.0,245.0,4630.0,11360.0,10365.0,40.0,99000.0,8745.0,20712.0,1620.0,275.0,3585.5621916385353,0,41.47354190807261,54.8474314407107,10.911548860563924,22.35419080726149,1.3277327153341059,Ottawa,False,True,False,False,True,False,0.980179830777035
K1R,3.7073,8140.0,1995.0,255.0,3605.0,11815.0,11685.0,36.0,74000.0,9260.0,20343.0,2425.0,225.0,5487.281849324306,0,40.01376394828688,58.0789460748169,9.806813154402006,17.72108341935801,1.1060315587671434,Ottawa,False,True,False,False,True,False,0.9729595576067236
K1M,2.7892,2530.0,810.0,60.0,1565.0,3115.0,2595.0,50.0,128000.0,2060.0,6764.0,530.0,75.0,2425.068119891008,0,37.40390301596688,46.05263157894737,11.975162625665286,23.13719692489651,1.1088113542282674,Ottawa,False,True,False,False,True,False,0.9262431250483489
K1V,34.9793,13280.0,10815.0,1470.0,10795.0,25860.0,25115.0,38.0,93000.0,20040.0,57157.0,5075.0,665.0,1634.0235510716336,0,23.234249523242998,45.24380215896566,18.921566912189235,18.886575572545794,1.163462043144322,Ottawa,False,True,False,False,True,False,0.916322515908048
K2A,5.0035,5455.0,2285.0,250.0,3830.0,7765.0,7110.0,47.2,105000.0,5910.0,17156.0,1200.0,170.0,3428.7998401119216,0,31.79645605036139,45.26113313126603,13.318955467474936,22.32455117743064,0.9909069713219865,Ottawa,False,True,False,False,True,False,0.9139980337490282
L5M,24.9887,33975.0,22665.0,2440.0,19765.0,49435.0,45845.0,39.6,118000.0,37825.0,106468.0,8020.0,465.0,4260.645811906982,0,31.910996731412254,46.43179171206372,21.288086561220272,18.564263440658227,0.43675094864184544,GTA,False,False,False,False,False,False,0.9035208062276986
L6M,34.8703,24930.0,14135.0,1345.0,15600.0,34650.0,31260.0,39.6,143000.0,26070.0,72547.0,5195.0,485.0,2080.4810970940885,0,34.36392959047238,47.762140405530204,19.48392076860518,21.503301308117496,0.6685321240023708,GTA,False,False,False,False,False,False,0.8989698875472415
K2M,9.1575,8445.0,5985.0,775.0,6650.0,15040.0,14380.0,38.4,133000.0,12310.0,28708.0,2075.0,370.0,3134.916734916734,0,29.4168872788073,52.38957781802982,20.847847289954018,23.164274766615577,1.288839347916957,Ottawa,False,True,False,False,True,False,0.8974596300267302
K2K,15.3888,7240.0,4115.0,500.0,5625.0,11360.0,10585.0,45.2,116000.0,8815.0,24922.0,1765.0,255.0,1619.489498856311,0,29.050637990530454,45.58221651552845,16.511515929700664,22.57041970949362,1.023192360163711,Ottawa,False,True,False,False,True,False,0.8925599980902709
M5G,0.7095,5210.0,350.0,75.0,1625.0,5615.0,5500.0,30.8,67500.0,3875.0,9751.0,1630.0,30.0,13743.481324876671,0,53.43041739308789,57.58383755512255,3.589375448671931,16.664957440262537,0.30766075274330834,Toronto,False,False,True,False,False,True,0.8867814979521949
K1C,17.6679,8495.0,7095.0,785.0,8690.0,16695.0,16240.0,46.0,117000.0,13560.0,37235.0,2680.0,575.0,2107.4943824676393,0,22.81455619712636,44.83684705250436,19.054652880354507,23.338257016248154,1.5442460051027258,Ottawa,False,True,False,False,True,False,0.8838274050382814
K0A,3072.8212,16495.0,33465.0,2375.0,27880.0,57425.0,51445.0,44.0,115000.0,44510.0,111626.0,6935.0,2655.0,36.32687772396259,0,14.777023274147599,51.44410800351172,29.979574651066955,24.976260011108522,2.378478132334761,Other Ontario,True,False,False,True,False,False,0.8832848680912136
L9T,82.9492,28960.0,27910.0,2375.0,21795.0,52315.0,49685.0,36.4,126000.0,43240.0,110956.0,6445.0,1110.0,1337.6379760142352,0,26.10043620894769,47.149320451350086,25.15411514474206,19.642921518439742,1.00039655358881,GTA,False,False,False,False,False,False,0.8828441841471015
M4Y,1.0366,16630.0,1940.0,330.0,5630.0,20545.0,20130.0,33.2,62400.0,15555.0,36319.0,4575.0,100.0,35036.65830600039,0,45.788705636168395,56.56818745009499,5.341556760924035,15.501528125774389,0.27533797736721827,Toronto,False,False,True,False,False,True,0.8805711057186044
K2V,2.3724,3645.0,2215.0,250.0,2295.0,5575.0,5365.0,32.4,128000.0,4600.0,10486.0,765.0,135.0,4419.996627887372,0,34.76063322525272,53.166126263589554,21.12340263208087,21.886324623307267,1.287430860194545,Ottawa,False,True,False,False,True,False,0.8750266242225152
K1J,12.6424,6455.0,4465.0,630.0,5355.0,12310.0,11835.0,41.6,94000.0,9495.0,28268.0,2340.0,360.0,2235.967854204898,0,22.83500778265176,43.54747417574642,15.795245507287392,18.943681901797085,1.273524833734258,Ottawa,False,True,False,False,True,False,0.8690858056692122
M2N,9.5924,32330.0,9955.0,1070.0,15175.0,36565.0,32995.0,38.0,82000.0,27315.0,75100.0,5675.0,325.0,7829.114715816689,0,43.04926764314247,48.6884154460719,13.255659121171771,20.206391478029296,0.4327563249001331,Toronto,False,False,True,False,False,True,0.865434717836051
K2W,64.675,2985.0,1675.0,165.0,1890.0,4450.0,4075.0,39.6,159000.0,3395.0,8553.0,685.0,105.0,132.24584460765365,0,34.900035075412134,52.02852800187069,19.583771775985035,22.097509645738338,1.227639424763241,Ottawa,False,True,False,False,True,False,0.8591846101627625
M5H,0.4726,1945.0,170.0,20.0,515.0,2105.0,2020.0,31.4,90000.0,1575.0,3248.0,445.0,15.0,6872.619551417689,0,59.88300492610838,64.80911330049261,5.233990147783251,15.85591133004926,0.4618226600985222,Toronto,False,False,True,False,False,True,0.8587997804100279
M5A,3.7157,18680.0,3750.0,525.0,8095.0,25830.0,24530.0,36.4,71000.0,20460.0,48978.0,4070.0,335.0,13181.365556961004,0,38.13957286945159,52.737963983829474,7.656498836212176,16.527828821103352,0.6839805627016211,Toronto,False,False,True,False,False,True,0.8446373847569093
N2L,15.7746,9980.0,6685.0,740.0,6090.0,17355.0,17400.0,29.8,69500.0,12780.0,37953.0,4620.0,315.0,2405.956410939105,0,26.295681500803624,45.72761046557584,17.61389086501726,16.046162358706823,0.8299739151055252,Other Ontario,True,False,False,True,False,False,0.8171876575612517
L4J,22.3937,22690.0,15085.0,1295.0,16070.0,34800.0,28930.0,45.6,115000.0,24005.0,75120.0,4920.0,310.0,3354.5148858830835,0,30.205005324813634,46.325878594249204,20.081203407880725,21.392438764643238,0.4126730564430245,GTA,False,False,False,False,False,False,0.8068231713204862
K2H,17.2193,6200.0,4965.0,545.0,5645.0,12120.0,11495.0,46.4,100000.0,9760.0,26759.0,1730.0,365.0,1554.012067854094,0,23.169774655256177,45.29317239059756,18.554505026346277,21.09570611756792,1.3640270563175005,Ottawa,False,True,False,False,True,False,0.7996389064152787
K1W,10.0267,3920.0,3180.0,360.0,3075.0,7450.0,7070.0,37.2,141000.0,5845.0,13825.0,1220.0,215.0,1378.8185544595929,0,28.354430379746837,53.8878842676311,23.001808318264015,22.24231464737794,1.5551537070524413,Ottawa,False,True,False,False,True,False,0.7960375019968552
L5B,10.399,20680.0,13720.0,1410.0,13080.0,30545.0,29550.0,37.2,79000.0,24955.0,67131.0,4600.0,375.0,6455.524569670161,0,30.805440109636383,45.50058840178159,20.437651755522783,19.48429190686866,0.5586092863207758,GTA,False,False,False,False,False,False,0.7942404621512804
