Store Name,Address,FSA,LANDAREA,Bachelor's degree or higher,"Car, truck or van - as a driver","Car, truck or van - as a passenger",Couple-family households,Employed,Employee,Median age of the population,Median total income of household in 2020 ($),Permanent position,"Population, 2021",Temporary position,With children,population_density
Alderwood,"841 Brown's Line, Shoppes of Alderwood, Toronto, ON, M8W 3V7",M8W,6.9498,5780.0,4990.0,500.0,4445.0,11365.0,10630.0,41.6,95000.0,9295.0,22381.0,1330.0,260.0,3220.380442602665
Aukland,"5245 Dundas St W, Toronto, ON, M9B 1A5",M9B,13.3122,9790.0,6425.0,660.0,6935.0,16040.0,14600.0,42.0,108000.0,12380.0,33236.0,2225.0,285.0,2496.6572016646383
Aurora,"10 Goulding Avenue, Unit A1, Aurora, ON, L4G 7B8",L4G,50.0005,17045.0,15165.0,1160.0,13420.0,30165.0,26745.0,42.0,119000.0,22475.0,62061.0,4270.0,570.0,1241.2075879241206
Barrhaven,"3033 Woodroffe Avenue, Ottawa, ON, K2G 6H2",K2G,28.2119,12710.0,10190.0,1240.0,10055.0,24685.0,23645.0,40.0,114000.0,19505.0,50692.0,4135.0,540.0,1796.8304155338706
Beaverbrook,"1415 Beaverbrook Avenue, London, ON, N6H 0J1",N6H,33.763,10820.0,10310.0,1060.0,8910.0,19270.0,18385.0,38.8,71000.0,14430.0,44215.0,3955.0,410.0,1309.5696472469865
Blossom Park,"2950 Bank Street, Ottawa, ON, K1T 1N8",K1T,46.4052,9575.0,8530.0,1025.0,7605.0,18660.0,17790.0,36.0,107000.0,14495.0,40054.0,3300.0,470.0,863.1360278589468
Blue Heron,"1500 Bank Street, Ottawa, ON, K1H 7Z1",K1H,6.8364,5095.0,2505.0,250.0,3535.0,7625.0,6785.0,44.0,103000.0,5430.0,16306.0,1355.0,150.0,2385.1734831197705
Brantford,"240 King George Road, Brantford, ON, N3R 5L4",N3R,16.4913,3655.0,10860.0,1055.0,7665.0,15820.0,15580.0,45.6,83000.0,13740.0,35858.0,1840.0,700.0,2174.358601201846
Britannia,"1495 Richmond Road, Ottawa, ON, K2B 6R9",K2B,7.9454,7615.0,5325.0,795.0,5795.0,14305.0,14335.0,39.6,72000.0,11660.0,33254.0,2675.0,345.0,4185.314773327963
Bronte,"2441 Lakeshore Road West, Oakville, ON, L6L 5V5",L6L,17.0665,8015.0,5995.0,470.0,6860.0,13110.0,11405.0,47.2,122000.0,9620.0,30012.0,1780.0,250.0,1758.532798171857
Burlington South,"3230 Fairview Street, Burlington, Ontario, L7N 3H5",L7N,6.5651,2860.0,2980.0,245.0,3045.0,5925.0,5350.0,48.0,101000.0,4640.0,13160.0,710.0,155.0,2004.539154011363
Cambridge,"350 Hespeler Road, Bldg C, Cambridge, ON, N1R 7N7",N1R,182.1589,3935.0,13110.0,1340.0,8070.0,19480.0,19040.0,40.8,77000.0,16880.0,42928.0,2165.0,800.0,235.6623804820956
College and Bay,"777 Bay Street, Toronto, ON, M5B 2H7",M5B,0.5576,7825.0,860.0,175.0,2470.0,9725.0,9635.0,31.4,58000.0,7415.0,17422.0,2225.0,75.0,31244.619799139167
Cornwall,"814 Sydney Street, Cornwall, ON, K6H 3J8",K6H,75.7605,2000.0,7615.0,1090.0,6065.0,11340.0,11265.0,46.0,61200.0,9625.0,30440.0,1640.0,720.0,401.7924908098548
Dupont,"744 Dupont St, Toronto, ON, M6G 1Z6",M6G,3.8615,11135.0,2985.0,395.0,5615.0,15915.0,13875.0,39.6,91000.0,11240.0,30600.0,2635.0,415.0,7924.381716949372
Fairway,"385 Fairway Road S., Kitchener, ON, N2C 2N9",N2C,13.2857,2585.0,4825.0,720.0,3205.0,8045.0,8070.0,36.8,70000.0,6910.0,17681.0,1155.0,240.0,1330.8293879885891
Front and Bathurst,"29 Bathurst St. Unit 1, Toronto, ON, M5V 2P1",M5V,3.8341,34995.0,4900.0,675.0,11135.0,43430.0,40280.0,32.0,91000.0,35110.0,59912.0,5170.0,330.0,15626.092172869774
Greenbank,"1581 Greenbank Road, Ottawa, ON, K2J 4Y6",K2J,32.134,22185.0,17510.0,1860.0,17200.0,40915.0,39565.0,36.8,122000.0,33580.0,81863.0,5985.0,1035.0,2547.5508806871226
Guelph,"370 Stone Rd. W, Guelph, ON, N1G 4V9",N1G,22.8294,7375.0,7945.0,765.0,5925.0,14560.0,14210.0,37.6,98000.0,11445.0,29688.0,2765.0,350.0,1300.428394964388
Harbourfront,"207 Queens Quay West, Toronto, ON, M5J 1A7",M5J,4.1369,9620.0,900.0,110.0,3415.0,11095.0,10280.0,33.6,94000.0,8855.0,16879.0,1430.0,65.0,4080.108293649834
Harvard Square,"801 Mohawk Road West, Hamilton, ON, L9C 6C2",L9C,12.6266,6685.0,10510.0,1215.0,7775.0,17645.0,17360.0,41.2,92000.0,14550.0,41202.0,2810.0,580.0,3263.111209668478
Hillside,"585 Montreal Road, Ottawa, ON, K1K 4K3",K1K,13.4204,6925.0,5020.0,660.0,5390.0,13190.0,13000.0,42.4,73500.0,10270.0,32046.0,2735.0,460.0,2387.8572918839973
Kanata (Terry Fox Drive),"700 Terry Fox Drive, Ottawa, ON, K2L 4H4",K2L,6.4717,3705.0,3865.0,540.0,4250.0,8695.0,8645.0,43.2,106000.0,7565.0,18739.0,1080.0,315.0,2895.529768067123
King and Weber,"417 King Street North, Waterloo, ON, N2J 2Z5",N2J,38.2888,5175.0,4390.0,410.0,3945.0,9785.0,9435.0,36.8,74500.0,7715.0,20899.0,1715.0,225.0,545.8254110862706
Kingston,"940 Futures Gate, Kingston, ON, K7M 8T5",K7M,44.1686,8435.0,12100.0,1280.0,9930.0,20915.0,20750.0,44.4,77500.0,16990.0,49268.0,3765.0,780.0,1115.4530594132484
Leaside,"147 Laird Dr., Toronto, ON, M4G 4K1",M4G,7.1324,7450.0,2775.0,250.0,4540.0,9525.0,7935.0,44.4,130000.0,6720.0,19598.0,1210.0,160.0,2747.742695305928
Leslieville,"1005 Lake Shore Blvd East, Toronto, ON, M4M 1B3",M4M,9.1644,9425.0,2660.0,300.0,4920.0,13555.0,12110.0,38.8,99000.0,10490.0,25052.0,1615.0,325.0,2733.6214045654924
Mapleview(Barrie),"436 Bryne Dr., Barrie, ON, L4N 9R1",L4N,55.6162,13320.0,31030.0,3235.0,19215.0,47965.0,46325.0,39.6,97000.0,40095.0,100835.0,6230.0,2105.0,1813.050873666306
Masonville,"109 Fanshawe Park Rd. E (Unit 20), London, ON, N5X 3W1",N5X,11.7911,8995.0,9505.0,900.0,8165.0,16540.0,15255.0,40.4,103000.0,12520.0,36963.0,2735.0,360.0,3134.8220267829124
Metcalfe,"193 Metcalfe Street, Ottawa, ON, K2P 0S5",K2P,1.3093,8015.0,1560.0,250.0,3015.0,11545.0,11365.0,34.4,66500.0,8860.0,18825.0,2505.0,85.0,14377.911861299932
Nepean,"1642 Merivale Road, Ottawa, ON, K2G 4A1",K2G,28.2119,12710.0,10190.0,1240.0,10055.0,24685.0,23645.0,40.0,114000.0,19505.0,50692.0,4135.0,540.0,1796.8304155338706
Newmarket,"18075 Yonge Street, Newmarket, ON, L3Y 8W3",L3Y,48.1146,7860.0,11285.0,1295.0,8690.0,20425.0,19180.0,45.6,93000.0,16220.0,43556.0,2965.0,580.0,905.255369472052
Oakwoods,"1907 Ironoak Way, Oakville, ON, L6H 0N1",L6H,62.5146,23360.0,15305.0,1475.0,15370.0,35090.0,31725.0,40.0,123000.0,26580.0,72662.0,5145.0,505.0,1162.3204819354198
Orleans,"3035 St. Joseph Blvd., Ottawa, ON, K1E 1E1",K1E,6.5016,2320.0,3105.0,315.0,3545.0,6615.0,6460.0,46.8,110000.0,5475.0,14508.0,980.0,270.0,2231.450719822813
Oshawa,"1280 Clearbrook Drive , Oshawa, ON, L1K 3G6",L1K,14.5586,6995.0,12000.0,1055.0,8170.0,19745.0,19245.0,37.2,119000.0,16655.0,43574.0,2595.0,710.0,2993.0075694091465
Pickering,"1355 Kingston Road, Unit 501, Pickering, ON, L1V 1B8",L1V,17.7631,10885.0,12305.0,1060.0,10100.0,24810.0,23775.0,42.0,118000.0,20335.0,52787.0,3445.0,570.0,2971.722278205943
Port Credit,"175 Lakeshore Road West, Mississauga, ON, L5H 1G5",L5H,11.3873,5345.0,3605.0,250.0,3820.0,8655.0,7095.0,46.4,139000.0,5890.0,17409.0,1205.0,140.0,1528.8084093683317
Rideau,"50 Rideau Street, Ottawa, ON, K1N 9J7",K1N,4.1394,8480.0,2305.0,295.0,3885.0,13040.0,13425.0,34.0,64000.0,9585.0,26639.0,3840.0,195.0,6435.473740155578
Signature Centre,"499 Terry Fox Drive, Ottawa, ON, K2T 1H7",K2T,11.7509,4555.0,1950.0,180.0,2620.0,5650.0,5465.0,39.2,141000.0,4550.0,11871.0,915.0,85.0,1010.2204937494148
St. Catharines,"295 Fourth Ave, St. Catharines, ON, L2S 0E7",L2S,10.7378,3080.0,5495.0,570.0,3835.0,8205.0,8180.0,42.0,82000.0,6935.0,19400.0,1245.0,245.0,1806.7015589785617
St. Clair,"81 St. Clair Avenue East, Toronto, ON, M4T 1M7",M4T,1.6713,3995.0,895.0,120.0,2340.0,4935.0,3885.0,46.8,114000.0,3255.0,10332.0,630.0,75.0,6182.014001077006
Stittsville,"6315 Hazeldean Rd, Ottawa, ON, K2S 1S9",K2S,132.0912,10595.0,8430.0,760.0,9245.0,19555.0,18550.0,39.6,137000.0,15870.0,38903.0,2685.0,495.0,294.5162130406871
Sugar Wharf,"Unit No. 200, 100 Queens Quay East, Toronto, ON, M5E 1Z2",M5E,0.4951,6950.0,930.0,75.0,2515.0,7975.0,7285.0,34.4,98000.0,6450.0,11779.0,840.0,45.0,23791.15330236316
Tenth Line,"2030 Tenth Line, Ottawa, ON, K4A 4X4",K4A,32.7591,15115.0,13730.0,1375.0,13495.0,31865.0,30405.0,38.4,128000.0,25700.0,62125.0,4705.0,1010.0,1896.4196208076537
Train Yards,"830 Belfast Road, Ottawa, ON, K1G 0Z4",K1G,35.6769,8425.0,6055.0,855.0,6345.0,15860.0,15490.0,38.8,83000.0,12280.0,35074.0,3210.0,360.0,983.1011102422016
