FSA,LANDAREA,Bachelor's degree or higher,"Car, truck or van - as a driver","Car, truck or van - as a passenger",Couple-family households,Employed,Employee,Median age of the population,Median total income of household in 2020 ($),Permanent position,"Population, 2021",Temporary position,With children,population_density
K0A,3072.8212,16495.0,33465.0,2375.0,27880.0,57425.0,51445.0,44.0,115000.0,44510.0,111626.0,6935.0,2655.0,36.326877723962596
K0B,1223.8974,1700.0,6985.0,370.0,5200.0,9985.0,8670.0,50.4,79000.0,7500.0,21020.0,1165.0,700.0,17.17464225350916
K0C,2470.942,4200.0,17335.0,1065.0,12980.0,24540.0,22125.0,48.4,84000.0,18915.0,52838.0,3210.0,1155.0,21.38374757481155
K0E,1979.2436,2970.0,13315.0,730.0,9870.0,17800.0,16425.0,49.6,83000.0,13990.0,39649.0,2430.0,870.0,20.032400256340352
K0G,2675.2361,4445.0,11660.0,860.0,10170.0,18325.0,16145.0,50.4,94000.0,13755.0,39862.0,2395.0,720.0,14.900367111523353
K0H,5232.2271,4760.0,14030.0,770.0,11990.0,20250.0,18155.0,51.2,92000.0,15265.0,47286.0,2890.0,985.0,9.037451757397916
K0J,6565.4195,2750.0,9505.0,790.0,8530.0,13685.0,12585.0,52.4,76000.0,10115.0,34322.0,2465.0,625.0,5.227693371307043
K0K,5464.1988,9460.0,34685.0,2390.0,28360.0,48940.0,43390.0,50.8,83000.0,37220.0,115850.0,6165.0,2365.0,21.201644420404325
K0L,7368.4296,6715.0,21720.0,1310.0,19400.0,31150.0,27515.0,54.0,79000.0,23255.0,78142.0,4260.0,1525.0,10.604973412516555
K0M,5512.5103,4195.0,14685.0,1115.0,13805.0,21345.0,18615.0,56.8,80000.0,15840.0,53815.0,2770.0,975.0,9.762340035899797
K1A,0.5559,35.0,30.0,0.0,130.0,75.0,85.0,72.0,73500.0,60.0,594.0,20.0,0.0,1068.5375067458176
K1B,10.5811,3335.0,3510.0,485.0,3415.0,8185.0,7910.0,40.4,96000.0,6530.0,17769.0,1380.0,285.0,1679.315005056185
K1C,17.6679,8495.0,7095.0,785.0,8690.0,16695.0,16240.0,46.0,117000.0,13560.0,37235.0,2680.0,575.0,2107.4943824676393
K1E,6.5016,2320.0,3105.0,315.0,3545.0,6615.0,6460.0,46.8,110000.0,5475.0,14508.0,980.0,270.0,2231.450719822813
K1G,35.6769,8425.0,6055.0,855.0,6345.0,15860.0,15490.0,38.8,83000.0,12280.0,35074.0,3210.0,360.0,983.1011102422015
K1H,6.8364,5095.0,2505.0,250.0,3535.0,7625.0,6785.0,44.0,103000.0,5430.0,16306.0,1355.0,150.0,2385.1734831197705
K1J,12.6424,6455.0,4465.0,630.0,5355.0,12310.0,11835.0,41.6,94000.0,9495.0,28268.0,2340.0,360.0,2235.967854204898
K1K,13.4204,6925.0,5020.0,660.0,5390.0,13190.0,13000.0,42.4,73500.0,10270.0,32046.0,2735.0,460.0,2387.8572918839973
K1L,3.3005,4265.0,2855.0,470.0,2965.0,8495.0,8285.0,41.2,63200.0,6410.0,18213.0,1875.0,220.0,5518.254809877291
K1M,2.7892,2530.0,810.0,60.0,1565.0,3115.0,2595.0,50.0,128000.0,2060.0,6764.0,530.0,75.0,2425.068119891008
K1N,4.1394,8480.0,2305.0,295.0,3885.0,13040.0,13425.0,34.0,64000.0,9585.0,26639.0,3840.0,195.0,6435.473740155578
K1P,0.4258,375.0,50.0,10.0,130.0,485.0,475.0,32.4,87000.0,410.0,645.0,60.0,0.0,1514.7956787224048
K1R,3.7073,8140.0,1995.0,255.0,3605.0,11815.0,11685.0,36.0,74000.0,9260.0,20343.0,2425.0,225.0,5487.281849324306
K1S,6.3408,12530.0,3660.0,515.0,6790.0,16580.0,15325.0,39.2,106000.0,11635.0,31257.0,3690.0,355.0,4929.504163512491
K1T,46.4052,9575.0,8530.0,1025.0,7605.0,18660.0,17790.0,36.0,107000.0,14495.0,40054.0,3300.0,470.0,863.1360278589468
K1V,34.9793,13280.0,10815.0,1470.0,10795.0,25860.0,25115.0,38.0,93000.0,20040.0,57157.0,5075.0,665.0,1634.0235510716336
K1W,10.0267,3920.0,3180.0,360.0,3075.0,7450.0,7070.0,37.2,141000.0,5845.0,13825.0,1220.0,215.0,1378.8185544595929
K1X,35.8594,1415.0,1140.0,120.0,1005.0,2480.0,2275.0,34.8,133000.0,2020.0,4594.0,255.0,60.0,128.11145752578125
K1Y,5.7765,8590.0,2260.0,245.0,4630.0,11360.0,10365.0,40.0,99000.0,8745.0,20712.0,1620.0,275.0,3585.5621916385353
K1Z,6.621,6695.0,3450.0,500.0,4175.0,10800.0,10385.0,38.4,77000.0,8555.0,22714.0,1830.0,285.0,3430.5996073100737
K2A,5.0035,5455.0,2285.0,250.0,3830.0,7765.0,7110.0,47.2,105000.0,5910.0,17156.0,1200.0,170.0,3428.7998401119216
K2B,7.9454,7615.0,5325.0,795.0,5795.0,14305.0,14335.0,39.6,72000.0,11660.0,33254.0,2675.0,345.0,4185.314773327963
K2C,13.15,7380.0,5865.0,730.0,5375.0,14440.0,14370.0,38.0,86000.0,11790.0,29359.0,2585.0,320.0,2232.6235741444866
K2E,10.7391,4525.0,3705.0,435.0,3950.0,8775.0,8610.0,40.0,89000.0,6865.0,20172.0,1740.0,210.0,1878.369695784563
